id,0 vehicles,1 vehicle,2 vehicles,3+ vehicles
010100,1001,960,184,9
010201,412,1593,431,130
010202,429,520,117,51
010300,1011,1325,311,74
010400,815,936,248,12
010501,697,1264,236,25
010502,760,738,243,7
010503,602,321,92,78
010600,829,1611,519,12
010701,146,890,413,72
010702,648,769,306,142
020100,362,748,279,118
020200,219,618,960,180
020301,367,738,608,129
020302,206,764,517,100
020400,223,901,482,81
020500,582,942,478,95
020601,334,734,566,159
020602,181,738,381,109
020701,101,161,319,77
020702,456,1137,565,208
020801,191,1085,600,110
020802,502,918,463,233
020901,386,956,473,82
020902,251,814,315,100
030101,1008,1086,142,30
030102,842,844,175,61
030103,651,493,0,19
030104,591,575,44,0
030200,748,1159,546,49
030300,423,664,256,16
030400,400,574,251,69
030500,833,1285,586,80
030601,948,762,218,21
030603,902,285,59,0
030604,865,962,54,0
030701,466,418,92,7
030702,280,672,68,0
030703,933,598,159,0
030706,1253,1052,40,0
030800,365,1104,560,56
030900,175,896,261,79
031000,332,973,390,37
031100,729,1149,272,0
031200,1568,971,201,22
031300,1616,1587,447,20
031400,1114,1684,372,78
031501,675,649,243,0
031502,1290,981,107,17
031700,1490,1683,435,63
031800,265,458,157,45
031900,360,737,204,17
032100,2191,1792,272,12
040100,233,911,367,133
040201,712,1243,532,119
040202,435,1439,688,153
040300,145,506,241,80
040401,159,628,444,86
040402,477,1412,424,96
040600,307,533,384,29
040700,417,702,380,43
040800,112,459,159,19
040900,243,524,184,53
050100,205,673,288,20
050200,354,1189,557,163
050300,157,525,359,88
050500,208,1127,685,175
050600,197,466,292,55
050700,104,427,186,3
050800,48,238,178,78
050900,66,250,294,32
051000,30,382,237,33
051100,101,239,326,20
051200,67,405,201,42
051300,9,462,577,54
051400,49,445,363,55
060100,164,700,259,57
060200,213,643,165,41
060300,173,626,422,86
060400,212,767,466,117
060500,263,372,58,6
060800,1275,1519,211,11
060900,2203,2011,306,35
061000,187,522,118,20
061100,88,269,163,27
061200,167,521,186,40
061500,198,406,195,55
061800,367,261,45,0
061901,1154,994,238,28
061902,1515,1213,134,0
062000,727,638,136,39
062100,549,710,199,92
062200,176,667,445,85
062300,62,419,213,10
062400,175,344,211,59
062500,90,291,236,5
062600,112,400,420,48
062700,297,454,369,49
062800,344,764,342,66
062900,312,965,544,33
063000,715,645,347,45
063100,674,562,86,30
063200,1879,1957,216,53
063301,1045,695,111,0
063302,1188,1215,203,30
063303,528,398,36,18
063400,471,617,109,0
070101,1024,1226,275,59
070102,884,686,20,30
070103,681,402,111,0
070200,794,796,407,34
070300,353,969,243,30
070400,380,697,454,63
070500,256,530,394,53
070600,41,722,298,147
070700,286,542,441,107
071000,284,545,206,30
071100,321,495,252,28
071200,303,586,204,9
071300,625,965,380,32
071400,1165,1360,257,14
071500,1372,1892,384,43
071600,77,481,231,7
071700,174,378,220,21
071800,195,474,446,46
080100,1523,2056,419,67
080201,814,1229,190,59
080202,1085,964,245,24
080300,691,1317,394,26
080400,998,621,275,14
081000,2836,1787,124,0
081100,1397,1025,166,15
081201,1367,925,325,0
081202,601,1206,102,9
081300,1649,1372,263,74
081401,887,475,167,8
081402,935,1475,211,30
081403,1888,2032,459,52
081500,1153,1325,208,63
081600,1375,783,60,26
081700,896,762,171,41
081800,1073,2983,558,13
081900,200,225,70,17
090100,82,386,662,123
090200,357,1004,1183,274
090300,92,130,241,96
100100,327,693,876,371
100200,179,1248,922,480
100300,533,699,791,368
100400,24,418,619,152
100500,95,704,977,334
100600,264,683,643,205
100700,132,723,801,216
110100,184,705,657,399
110200,213,375,334,218
110300,349,559,604,317
110400,224,759,647,254
110501,166,790,502,220
110502,308,722,309,128
120100,116,448,800,184
120200,67,631,723,187
120300,139,699,1104,387
120400,154,477,395,282
130100,517,550,674,264
130200,82,167,227,119
130300,252,796,637,92
140100,353,488,242,64
140200,674,659,404,114
140301,137,432,110,64
140302,256,764,292,101
140400,364,904,685,267
140500,191,654,365,111
140601,282,229,269,100
140602,499,932,170,34
140701,292,417,237,5
140702,482,915,464,69
140800,550,1145,751,267
150200,744,1167,1044,138
150300,532,1424,511,348
150401,235,899,406,258
150402,139,475,495,112
150501,87,349,503,308
150502,228,632,378,288
150600,217,572,348,224
150700,97,606,509,216
150800,219,786,586,248
151001,101,370,250,151
151002,138,671,619,190
151100,238,802,530,139
151200,163,440,453,194
160100,123,341,482,50
160200,163,600,469,135
160300,631,842,253,63
160400,348,940,457,147
160501,342,467,383,141
160502,139,674,388,195
160601,104,762,366,49
160602,217,722,455,116
160700,320,745,731,205
160800,289,755,527,253
160900,114,432,307,112
161000,127,357,218,67
161100,61,268,361,56
161200,113,388,204,134
161300,443,683,246,97
170100,251,481,216,82
170200,134,472,372,184
170300,148,617,838,240
170400,148,462,601,197
170500,86,825,688,276
170600,102,337,328,182
170700,91,346,434,190
170800,84,601,500,179
170900,81,226,198,104
171000,181,877,961,543
171100,53,379,549,297
180100,262,745,795,278
190100,213,273,152,157
190200,144,659,593,207
190300,343,619,515,346
190401,258,374,479,123
190402,186,724,434,166
190601,102,483,450,162
190602,163,496,412,235
190701,151,433,184,83
190702,190,625,365,150
190800,230,955,450,304
190900,53,230,212,105
191000,146,210,229,88
191100,373,742,568,237
191200,183,388,322,79
191301,251,645,317,263
191302,190,350,586,68
200100,228,448,389,171
200200,279,565,581,189
200300,159,252,166,65
200401,218,387,213,188
200402,175,588,257,174
210100,151,723,431,141
210400,132,393,380,94
210501,403,623,353,100
210502,333,715,451,99
210601,201,464,258,70
210602,344,687,273,147
210700,249,823,424,168
210800,12,201,129,48
210900,162,647,313,90
220300,156,475,300,64
220400,235,644,235,81
220500,308,668,243,23
220601,181,253,171,50
220602,732,956,502,66
220701,293,560,248,98
220702,279,696,277,57
220901,254,381,292,69
220902,155,419,142,240
221000,256,343,223,88
221100,463,1155,283,67
221200,194,488,297,43
221300,437,562,199,35
221400,330,592,239,5
221500,449,579,237,62
221600,300,590,403,52
222200,135,475,267,35
222500,123,186,145,26
222600,274,299,86,51
222700,174,459,160,36
222800,60,276,40,0
222900,72,163,122,28
230100,177,328,153,6
230200,118,227,182,35
230300,62,177,42,9
230400,127,276,252,43
230500,384,304,279,95
230600,565,846,468,83
230700,300,905,312,108
230800,28,106,101,53
230900,515,974,344,21
231100,130,136,63,46
231200,653,644,323,87
231500,707,779,335,46
240200,160,511,141,17
240300,143,309,191,13
240500,77,691,320,34
240600,70,333,134,0
240700,87,234,269,28
240800,269,270,116,31
240900,145,186,84,17
241000,244,329,73,98
241100,452,626,436,42
241200,276,280,211,32
241300,138,361,250,44
241400,571,1039,529,128
241500,235,726,301,41
241600,352,920,315,25
242000,771,939,350,25
242100,318,972,474,19
242200,530,865,346,46
242300,302,917,406,77
242400,415,629,264,70
242500,417,775,251,63
242600,617,1042,500,160
242700,183,446,91,6
242800,122,269,221,39
242900,156,573,117,61
243000,86,495,325,78
243100,168,351,282,81
243200,85,375,288,56
243300,286,630,254,13
243400,319,670,287,100
243500,198,976,504,14
250200,181,402,123,87
250300,359,794,309,160
250400,419,827,397,241
250500,236,1016,1128,453
250600,225,506,465,164
250700,619,973,339,131
250800,216,308,176,100
251000,75,184,77,0
251100,650,457,375,65
251200,350,379,304,78
251300,683,563,299,54
251400,570,703,241,50
251500,416,479,225,41
251600,314,506,194,37
